case_id,our_aorta_ml,ts_aorta_ml,diff_aorta_ml,our_r_iliac_ml,ts_r_iliac_ml,diff_r_iliac_ml,our_l_iliac_ml,ts_l_iliac_ml,diff_l_iliac_ml
s0595,17.682,432.375,-414.693,0.186,0.000,0.186,0.000,0.000,0.000
s0600,107.848,96.208,11.640,39.261,23.750,15.512,28.870,23.338,5.532
s0601,0.068,0.000,0.068,0.655,13.237,-12.582,0.000,15.940,-15.940
s0602,167.204,174.872,-7.668,14.415,11.451,2.963,32.272,11.775,20.496
s0603,87.335,82.522,4.813,18.583,13.254,5.329,16.973,12.460,4.512
s0605,213.010,213.597,-0.587,0.000,0.000,0.000,0.044,0.000,0.044
s0608,148.898,334.952,-186.054,0.000,0.000,0.000,0.000,0.000,0.000
s0611,0.118,4.580,-4.462,1.789,36.447,-34.658,0.165,45.583,-45.417
s0612,348.027,349.772,-1.745,14.661,12.447,2.214,20.665,14.010,6.655
s0613,233.577,243.297,-9.720,13.956,12.909,1.046,25.579,12.865,12.714
s0614,0.000,0.003,-0.003,3.888,13.858,-9.970,0.557,13.571,-13.014
s0616,392.010,276.615,115.395,30.476,23.395,7.081,28.154,23.419,4.735
s0617,230.641,242.922,-12.282,30.004,22.312,7.692,41.003,22.758,18.245
s0618,207.195,204.795,2.400,0.000,0.000,0.000,0.000,0.000,0.000
s0619,256.048,235.173,20.874,27.786,15.160,12.626,18.731,16.517,2.214
s0621,288.191,305.100,-16.909,31.391,33.861,-2.471,74.139,44.418,29.720
s0623,337.871,297.631,40.240,39.758,22.656,17.101,27.631,21.070,6.561
s0625,295.491,300.925,-5.434,22.505,16.065,6.439,26.892,14.587,12.305
s0627,37.854,50.190,-12.336,1.536,0.000,1.536,0.064,0.000,0.064
s0628,287.904,287.439,0.466,24.766,12.508,12.258,18.482,12.477,6.004
s0629,288.299,299.450,-11.151,26.193,16.291,9.902,20.253,16.328,3.925
s0635,265.937,276.696,-10.759,28.667,17.331,11.337,22.579,16.416,6.163
s0637,320.254,308.796,11.458,24.222,16.885,7.337,22.248,19.970,2.278
